0,1,2
350592,598,0.06843172516458511
356736,268,0.0694044855415548
420738,2721,0.06902745087374834
131973,4173,0.06904441935889989
377478,3593,0.06913770362869334
119430,1102,0.06855455202647208
119430,3318,0.06880730206149083
73350,4659,0.06935092030237618
347526,4463,0.0689620912711109
35463,2140,0.06913994766623514
66951,977,0.06855117689284294
66951,4173,0.06872820826965535
19335,102,0.06847620138563351
137352,4641,0.06881695404792774
339081,3941,0.06873849749504585
40587,168,0.06883905485131858
122763,361,0.06863908292426944
279948,4444,0.07048434261719863
57741,3230,0.06897661424343716
20109,3350,0.07125485023167753
66447,1760,0.06910050955601209
264336,4950,0.06837172317821415
402576,3854,0.06951058921083349
402576,1499,0.06971594995984563
83088,4693,0.06892728202372617
83088,1963,0.07000975944985223
102546,4071,0.06922581414414868
60306,1031,0.0700606371156315
333714,4659,0.06993895059064571
97170,2669,0.06903147792091423
175251,2928,0.06912632260816448
374931,1760,0.06910353137946956
179604,3473,0.07061327069368746
269460,1833,0.06838280449458156
148116,2869,0.06869773476004729
162708,1892,0.07098902040664311
172437,4287,0.06886031526555374
172437,4992,0.0685426349589794
253077,2445,0.06912618259093233
217494,3016,0.06892580720163251
68247,121,0.07007300793184967
369561,4705,0.06922581414414868
39834,2790,0.06880261798604359
39834,1923,0.06873670056069894
402330,3057,0.07048434261719863
227994,4143,0.06868350163339995
181404,2082,0.06856423444676134
184476,2596,0.06881695404792774
141468,2882,0.06889327168780605
272796,941,0.0688916720515972
240285,3152,0.06844316427412081
263583,1346,0.06851479724431506
411039,1884,0.06867413991861396
354720,2283,0.0690855201509688
219297,4607,0.06915437788819097
139683,2459,0.06892151010789282
105636,3420,0.06875691700260339
41892,1963,0.06839407296423797
359589,4444,0.06870447261183713
87462,2242,0.06830402223640164
100263,1495,0.06857051006017417
69288,931,0.07006902920957635
349608,2193,0.06926058688382092
230058,4850,0.06835873046398493
353706,2711,0.06922676397187377
127659,4891,0.06861067074198215
163755,2872,0.06857139024650839
75180,1437,0.0683496715217279
395181,2224,0.0690855201509688
162990,227,0.06919018105922733
33711,3329,0.06921221507959884
37551,2954,0.06855203797360207
37551,2869,0.06867041898403467
346287,4976,0.06847663080406598
25008,1956,0.07042368992362605
147633,4966,0.06906315493405078
228273,606,0.06867805089187495
251571,1501,0.0690855201509688
251571,1356,0.0686359408285722
63927,1393,0.06839989555220627
63927,323,0.06870245160899975
75960,4993,0.06872378567231037
244923,2766,0.06859302167493744
231211,2313,0.06936373057264472
128044,3828,0.06950102946028987
128044,1203,0.06875568245544704
207148,3148,0.0687856580780461
110893,2523,0.06873250491576927
110893,1346,0.06897661424343716
258349,2284,0.06860244698563489
258349,1102,0.06840857366687973
394030,3484,0.0694044855415548
386863,3044,0.06971594995984563
172336,3580,0.0694044855415548
47665,645,0.0690405828168288
188977,1512,0.06954419409077923
365107,1916,0.06854495045132304
309811,1074,0.06839485157579141
97843,1840,0.06903147792091423
89908,4933,0.06932326310911213
123445,2138,0.06837262783756165
84790,3614,0.06892580720163251
94774,2124,0.06900396217095929
236599,718,0.06897995308362395
44344,2066,0.06965696355863976
177976,1708,0.06851479724431506
206137,4149,0.06919018105922733
397114,4107,0.0691172579295081
115003,4173,0.06873849749504585
322363,4648,0.06856077450815616
68923,2273,0.07250465309932308
267067,479,0.06922581414414868
64828,3762,0.06863591014772333
20029,2273,0.06866892954996995
2110,3609,0.0700732752291648
3646,4933,0.0690855201509688
150334,1749,0.06837582898767264
57409,1340,0.0685075989256374
57409,1393,0.06952132411957125
175426,2879,0.06897661424343716
209731,4607,0.06833944874371052
18499,1500,0.06926058688382092
35908,4219,0.06875581856511585
35908,3983,0.06897661424343716
79684,740,0.06897995308362395
246598,2712,0.06890594330317378
31558,191,0.06892580720163251
112711,4427,0.06847663080406598
80455,798,0.06900085867762651
241480,4173,0.06877218362276226
183880,3472,0.06844066075087633
322888,4281,0.06890594330317378
54601,412,0.07007146457134017
362314,1412,0.06900085867762651
317770,3734,0.06856387880447448
396106,3979,0.06844665609797021
396106,2565,0.06839407296423797
179275,4444,0.06863591014772333
412747,2031,0.06849580752670599
162124,1608,0.06870447261183713
79693,1332,0.06849250273152106
375886,2954,0.06981996376708142
196942,4044,0.06995603439447651
243535,1056,0.06889327168780605
211279,685,0.06849367760769673
20047,625,0.06873097064601319
186448,1272,0.06983512962489519
97105,1514,0.06872378567231037
268627,4170,0.06839049227573511
410197,4639,0.0686295493577672
299350,1077,0.06842467466081825
257878,1833,0.0684783866755854
391510,2313,0.06845714106098245
233047,474,0.06922581414414868
233047,2158,0.06890416286976629
124759,2579,0.06877858391734469
322903,806,0.0690855201509688
230488,4481,0.06843172516458511
171352,2459,0.06889327168780605
222040,1629,0.06834403680931231
40282,1661,0.06883089229564181
158554,3826,0.06919018105922733
320605,2459,0.06962921363673598
270430,4545,0.07019717583466561
63328,1557,0.06897661424343716
413536,1356,0.06867862253406762
286561,13,0.06831662951691614
307042,946,0.0696796392389439
245602,2173,0.06843868036183202
86626,121,0.06890594330317378
247651,3878,0.06861842836757608
209764,4044,0.06979407336431881
99685,66,0.06922581414414868
410470,2928,0.06833924618193714
109927,829,0.0687528187065657
338023,323,0.06880730206149083
349543,3826,0.06962921363673598
330088,3154,0.06878595689141667
148840,2051,0.06843252924546116
175465,1501,0.06913770362869334
232810,1162,0.069071970296119
293995,4768,0.06976647787627403
330349,276,0.06873570557610996
41326,2136,0.06968228376140011
34927,508,0.0690606151526809
94831,1348,0.06879949518619369
118384,4525,0.0686431267264274
34162,4926,0.06866029134598148
355954,731,0.06890594330317378
403315,2721,0.06879949518619369
346483,4976,0.06896599489438134
62068,3622,0.06867041898403467
9844,2273,0.06956588257063047
145525,4745,0.06875752806880253
116854,4287,0.0688050200813576
2422,2193,0.06892580720163251
138358,4170,0.06900396217095929
233335,4818,0.06906404387306496
171127,479,0.06841220331587985
47992,1340,0.06895461948960065
226168,3148,0.0683155900388958
226168,2320,0.06854802503527468
226168,412,0.0683302632748328
67195,3578,0.06840745443353542
11131,1890,0.06913214867600277
413563,102,0.06888257534529045
417403,227,0.06849250273152106
100732,4523,0.06898082132327668
251260,1760,0.06881040424961325
288124,1605,0.06913214867600277
290941,3635,0.06873097064601319
7294,3780,0.07098902040664311
371839,222,0.0686674397411178
340351,3102,0.06866294315011846
293503,3955,0.06957859119720479
222080,3163,0.06961962886476782
413825,2916,0.06997583696275343
182915,1056,0.06962921363673598
